folder_name,table_label,coordinates
camera_1,table_001,"(911,327)"
camera_1,table_002,"(1125,378)"
camera_1,table_003,"(329,638)"
camera_1,table_004,"(312,680)"
camera_3,table_001,"(1052,411)"
camera_3,table_002,"(974,404)"
camera_3,table_003,"(748,514)"
camera_3,table_004,"(800,504)"
camera_6,table_001,"(1205,812)"
camera_6,table_002,"(1488,341)"
camera_6,table_003,"(611,193)"
camera_6,table_004,"(574,188)"
camera_6,table_005,"(524,213)"
camera_7,table_001,"(828,843)"
camera_7,table_002,"(1135,644)"
camera_7,table_003,"(1137,504)"
camera_7,table_004,"(1106,459)"
camera_7,table_005,"(1204,403)"
camera_7,table_006,"(642,463)"
camera_7,table_007,"(763,424)"
camera_7,table_008,"(890,371)"
camera_7,table_009,"(792,332)"
camera_7,table_010,"(875,286)"
camera_7,table_011,"(922,373)"
camera_7,table_012,"(550,323)"
